candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,run_id,run_dir
adaptive_c1,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,1.0,0.016826518593303048,-0.565999999999999,-4.166973422660671,0.04660000000000508,True,5944.0,5943.0,13.017,13.582999999999998,39.0843,39.037699999999994,True,1,False,1.0,20260615-175742_candidate_adaptive_c1_trial2_pcitc_b262703c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175742_candidate_adaptive_c1_trial2_pcitc_b262703c
adaptive_c1,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,4.0,0.06730607437321219,-0.8999999999999986,-6.625929470661847,0.05000000000000426,True,5947.0,5943.0,12.683,13.582999999999998,39.0877,39.037699999999994,True,1,False,1.0,20260615-175749_candidate_adaptive_c1_trial3_pcitc_53855ccf,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175749_candidate_adaptive_c1_trial3_pcitc_53855ccf
adaptive_c1,destc.bench,1,True,False,False,100.0,100.0,0.0,1.6666666666666856,0.4798464491362819,-4.133333333333329,-18.03662598728707,0.3966666666666754,True,349.0,347.3333333333333,18.783,22.91633333333333,94.63170000000001,94.23503333333333,True,1,False,1.0,20260615-175757_candidate_adaptive_c1_trial1_destc_0584ecaf,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175757_candidate_adaptive_c1_trial1_destc_0584ecaf
adaptive_c1,destc.bench,2,True,False,False,100.0,100.0,0.0,3.6666666666666856,1.0556621880998136,-4.61633333333333,-20.144293007898284,0.4249666666666627,True,351.0,347.3333333333333,18.3,22.91633333333333,94.66,94.23503333333333,True,1,False,1.0,20260615-175808_candidate_adaptive_c1_trial2_destc_e7ccea30,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175808_candidate_adaptive_c1_trial2_destc_e7ccea30
adaptive_c1,destc.bench,3,True,False,False,100.0,100.0,0.0,7.666666666666686,2.2072936660268767,-6.499333333333329,-28.36113979839705,0.5732666666666688,True,355.0,347.3333333333333,16.417,22.91633333333333,94.8083,94.23503333333333,True,1,False,1.0,20260615-175819_candidate_adaptive_c1_trial3_destc_06507769,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175819_candidate_adaptive_c1_trial3_destc_06507769
adaptive_c1,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,-1.3333333333339397,-0.012433944668951877,-0.5783333333333331,-1.5458773633658245,0.0711666666666737,True,10722.0,10723.333333333334,36.833,37.41133333333333,-16.3413,-16.412466666666674,True,1,False,1.0,20260615-175829_candidate_adaptive_c1_trial1_DMAtc_9975c610,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175829_candidate_adaptive_c1_trial1_DMAtc_9975c610
adaptive_c1,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,0.6666666666660603,0.006216972334467457,-0.4783333333333317,-1.2785786838212976,0.04116666666666191,True,10724.0,10723.333333333334,36.933,37.41133333333333,-16.371300000000012,-16.412466666666674,True,1,False,1.0,20260615-175851_candidate_adaptive_c1_trial2_DMAtc_c963219a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175851_candidate_adaptive_c1_trial2_DMAtc_c963219a
adaptive_c1,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,1.6666666666660603,0.015542430836177124,-3.3443333333333314,-8.939358839567328,0.31776666666667097,True,10725.0,10723.333333333334,34.067,37.41133333333333,-16.094700000000003,-16.412466666666674,True,1,False,1.0,20260615-175914_candidate_adaptive_c1_trial3_DMAtc_abce0bfa,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175914_candidate_adaptive_c1_trial3_DMAtc_abce0bfa
adaptive_c2,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,27.0,0.4543160020191822,-1.932999999999998,-14.231024074210396,-0.07670000000000243,False,5970.0,5943.0,11.65,13.582999999999998,38.96099999999999,39.037699999999994,True,1,True,1.0,20260615-175934_candidate_adaptive_c2_trial1_pcitc_af0196ec,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175934_candidate_adaptive_c2_trial1_pcitc_af0196ec
adaptive_c2,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,24.0,0.40383644623927306,-1.932999999999998,-14.231024074210396,-0.046700000000001296,False,5967.0,5943.0,11.65,13.582999999999998,38.99099999999999,39.037699999999994,True,1,True,1.0,20260615-175941_candidate_adaptive_c2_trial2_pcitc_0cd0503b,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175941_candidate_adaptive_c2_trial2_pcitc_0cd0503b
adaptive_c2,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,27.0,0.4543160020191822,-1.8499999999999979,-13.619966134138247,-0.08500000000000085,False,5970.0,5943.0,11.733,13.582999999999998,38.95269999999999,39.037699999999994,True,1,True,1.0,20260615-175948_candidate_adaptive_c2_trial3_pcitc_7d8e3eac,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175948_candidate_adaptive_c2_trial3_pcitc_7d8e3eac
adaptive_c2,destc.bench,1,True,False,False,100.0,100.0,0.0,44.666666666666686,12.859884836852215,-9.48333333333333,-41.38242010792884,0.5016666666666652,True,392.0,347.3333333333333,13.433,22.91633333333333,94.7367,94.23503333333333,True,1,True,1.0,20260615-175955_candidate_adaptive_c2_trial1_destc_41ed2fd1,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175955_candidate_adaptive_c2_trial1_destc_41ed2fd1
adaptive_c2,destc.bench,2,True,False,False,100.0,100.0,0.0,53.666666666666686,15.451055662188107,-9.816333333333331,-42.83553215319495,0.44496666666665874,True,401.0,347.3333333333333,13.1,22.91633333333333,94.67999999999999,94.23503333333333,True,1,True,1.0,20260615-180004_candidate_adaptive_c2_trial2_destc_5050a3c8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180004_candidate_adaptive_c2_trial2_destc_5050a3c8
adaptive_c2,destc.bench,3,True,False,False,100.0,100.0,0.0,39.666666666666686,11.420345489443385,-10.149333333333331,-44.288644198461064,0.6182666666666563,True,387.0,347.3333333333333,12.767,22.91633333333333,94.85329999999999,94.23503333333333,True,1,True,1.0,20260615-180011_candidate_adaptive_c2_trial3_destc_365771a8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180011_candidate_adaptive_c2_trial3_destc_365771a8
