candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,run_id,run_dir
phase2_b20_learning_seed1,pcitc.bench,3,True,False,False,99.826,99.826,0.0,-1.0,-0.016823687752355317,-2.9339999999999993,-17.241581947464297,0.30340000000000344,True,5943.0,5944.0,14.083,17.017,38.9877,38.68429999999999,20260613-221210_candidate_phase2_b20_learning_seed1_trial3_pcitc_b5160818,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221210_candidate_phase2_b20_learning_seed1_trial3_pcitc_b5160818
phase2_b20_learning_seed1,destc.bench,1,True,False,False,100.0,100.0,0.0,-6.0,-1.694915254237288,-7.600000000000001,-22.960725075528703,0.8200000000000074,True,348.0,354.0,25.5,33.1,93.97,93.14999999999999,20260613-221218_candidate_phase2_b20_learning_seed1_trial1_destc_4db767f0,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221218_candidate_phase2_b20_learning_seed1_trial1_destc_4db767f0
phase2_b20_learning_seed1,destc.bench,2,True,False,False,100.0,100.0,0.0,-6.0,-1.694915254237288,-7.7330000000000005,-23.362537764350456,0.8333000000000084,True,348.0,354.0,25.367,33.1,93.9833,93.14999999999999,20260613-221234_candidate_phase2_b20_learning_seed1_trial2_destc_13ff6f87,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221234_candidate_phase2_b20_learning_seed1_trial2_destc_13ff6f87
phase2_b20_learning_seed1,destc.bench,3,True,False,False,100.0,100.0,0.0,-6.0,-1.694915254237288,-7.75,-23.413897280966765,0.835000000000008,True,348.0,354.0,25.35,33.1,93.985,93.14999999999999,20260613-221249_candidate_phase2_b20_learning_seed1_trial3_destc_8b8ad33f,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221249_candidate_phase2_b20_learning_seed1_trial3_destc_8b8ad33f
phase2_b20_learning_seed1,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,0.0,0.0,6.216999999999999,13.861761426978816,-0.6217000000000006,False,10723.0,10723.0,51.067,44.85,-17.774700000000006,-17.153000000000006,20260613-221304_candidate_phase2_b20_learning_seed1_trial1_DMAtc_1ffc6f59,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221304_candidate_phase2_b20_learning_seed1_trial1_DMAtc_1ffc6f59
phase2_b20_learning_seed1,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,0.0,0.0,6.549999999999997,14.604236343366772,-0.6550000000000011,False,10723.0,10723.0,51.4,44.85,-17.808000000000007,-17.153000000000006,20260613-221335_candidate_phase2_b20_learning_seed1_trial2_DMAtc_13382987,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221335_candidate_phase2_b20_learning_seed1_trial2_DMAtc_13382987
phase2_b20_learning_seed1,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,0.0,0.0,5.417000000000002,12.078037904124864,-0.5417000000000023,False,10723.0,10723.0,50.267,44.85,-17.694700000000008,-17.153000000000006,20260613-221406_candidate_phase2_b20_learning_seed1_trial3_DMAtc_af0bd943,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221406_candidate_phase2_b20_learning_seed1_trial3_DMAtc_af0bd943
phase1_b20_learning,pcitc.bench,1,True,False,False,99.826,99.826,0.0,-1.0,-0.016823687752355317,-3.067,-18.023153317270964,0.3166999999999973,True,5943.0,5944.0,13.95,17.017,39.00099999999999,38.68429999999999,20260613-221436_candidate_phase1_b20_learning_trial1_pcitc_ae316b09,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221436_candidate_phase1_b20_learning_trial1_pcitc_ae316b09
phase1_b20_learning,pcitc.bench,2,True,False,False,99.826,99.826,0.0,1.0,0.016823687752355317,-3.067,-18.023153317270964,0.2966999999999942,True,5945.0,5944.0,13.95,17.017,38.98099999999999,38.68429999999999,20260613-221445_candidate_phase1_b20_learning_trial2_pcitc_aa44bb75,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221445_candidate_phase1_b20_learning_trial2_pcitc_aa44bb75
phase1_b20_learning,pcitc.bench,3,True,False,False,99.826,99.826,0.0,0.0,0.0,-3.3499999999999996,-19.68619615678439,0.33500000000000085,True,5944.0,5944.0,13.667,17.017,39.019299999999994,38.68429999999999,20260613-221453_candidate_phase1_b20_learning_trial3_pcitc_62a9dfc0,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221453_candidate_phase1_b20_learning_trial3_pcitc_62a9dfc0
